,face0503616,face1752317,face1791282,face4310014,face548602,face621099,face640783,face7197409
face0503616,0.0,0.7945759296417236,0.8626359701156616,0.9740496873855591,0.7023960947990417,0.9109810590744019,1.0917067527770996,0.806959331035614
face1752317,0.7945759296417236,0.0,0.6968052387237549,0.7546460032463074,0.6774803400039673,0.6306594014167786,1.0941129922866821,0.6584450602531433
face1791282,0.8626359701156616,0.6968052387237549,0.0,0.7998247146606445,0.7972621917724609,0.6376982927322388,1.1044745445251465,0.710377037525177
face4310014,0.9740496873855591,0.7546460032463074,0.7998247146606445,0.0,0.8586469292640686,0.9013965129852295,1.1798183917999268,0.8145503997802734
face548602,0.7023960947990417,0.6774803400039673,0.7972621917724609,0.8586469292640686,0.0,0.7203351259231567,1.1210078001022339,0.8101614713668823
face621099,0.9109810590744019,0.6306594014167786,0.6376982927322388,0.9013965129852295,0.7203351259231567,0.0,1.203700304031372,0.8023394346237183
face640783,1.0917067527770996,1.0941129922866821,1.1044745445251465,1.1798183917999268,1.1210078001022339,1.203700304031372,0.0,1.1103100776672363
face7197409,0.806959331035614,0.6584450602531433,0.710377037525177,0.8145503997802734,0.8101614713668823,0.8023394346237183,1.1103100776672363,0.0
